pair,source,label,a,b,phash_min,file_same,text_same,text_len_a,text_len_b,prefix,tfidf,jaccard,files_per_text,same_channel,days,std_a,std_b
81,cluster_file,dup,16528,16753,0,1,0,0,0,0,,,0,1,24,60.14,60.14
82,near_text,not,7526,7713,34,0,0,58,58,0,0.959,0.818,1,1,85,68.01,53.5
83,cluster_phash,dup,18838,4372,0,0,0,69,31,0,0.466,0.286,1,0,1,51.44,51.4
84,cluster_text,dup,9089,9534,4,0,0,0,25,0,,,1,1,40,49.61,50.09
85,near_text,not,7515,7766,32,0,0,62,54,0,0.562,0.455,1,1,113,59.52,53.89
86,near_phash,not,14379,19408,12,0,0,491,68,0,0.0,0.014,1,0,21,65.07,23.55
87,cluster_phash,dup,9519,9771,6,0,0,0,0,0,,,0,1,20,74.59,74.83
88,cluster_file,not,20866,25752,0,1,0,174,35,0,0.0,0.0,1,0,1,53.9,49.8
89,cluster_file,dup,20056,20115,0,1,0,1227,891,0,0.142,0.096,1,1,3,79.0,79.0
90,cluster_phash,not,2831,4565,,0,0,1207,248,0,0.012,0.029,0,0,27,6.24,5.16
91,cluster_text,dup,20524,5405,0,0,0,133,152,0,0.196,0.194,1,0,1,39.74,39.55
92,near_text,not,6332,6459,26,0,0,69,69,0,0.592,0.357,1,1,22,17.81,68.0
93,cluster_phash,dup,8448,9442,2,0,0,0,0,0,,,0,1,78,39.88,39.89
94,cluster_file,dup,8417,9180,0,1,0,0,0,0,,,0,1,57,56.42,56.42
95,cluster_phash,not,2912,2921,14,0,0,482,333,0,0.004,0.031,1,1,1,68.31,73.32
96,near_phash,not,2786,3313,10,0,0,406,367,0,0.008,0.054,1,1,82,39.49,26.82
97,cluster_file,dup,16156,17738,0,0,0,0,0,0,,,0,1,171,54.06,54.06
98,cluster_text,not,4795,4794,28,0,0,48,183,0,0.136,0.118,1,1,0,57.73,50.19
99,cluster_phash,dup,8129,9341,2,0,0,0,0,0,,,0,1,90,50.36,50.37
100,cluster_phash,dup,9887,9966,0,0,0,0,0,0,,,0,1,7,25.18,25.18
101,near_phash,not,2278,3313,12,0,0,481,367,0,0.003,0.037,1,1,144,43.24,26.82
102,cluster_text,not,11043,11061,,0,0,241,109,0,0.047,0.057,0,1,2,,
103,cluster_phash,dup,20737,5512,2,0,0,137,77,0,0.287,0.125,1,0,1,72.77,72.43
104,cluster_file,dup,16293,16878,0,1,0,0,0,0,,,0,1,64,50.15,50.15
105,cluster_forward,dup,19975,25679,,0,1,50,50,0,1.0,1.0,0,0,1,,
106,near_phash,not,3522,5704,12,0,0,236,632,0,0.002,0.025,1,0,122,17.83,20.71
107,near_text,not,7462,7681,34,0,0,57,58,0,0.927,0.818,1,1,98,33.82,47.46
